System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:07:01:357, 2098877185195141,    0.111,    2.000,  800,   5.685,   0.629,   0.175,   2.130,   0.236,   0.065, 32,  0,   0.708,   0.078,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:01:464, 2098877568739836,    0.217,    4.000, 4200,   4.601,   1.119,   0.311,   1.362,   0.381,   0.106, 40,  0,   0.686,   0.151,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:01:573, 2098877959035939,    0.326,   11.000, 3000,  16.054,   2.860,   0.794,  12.474,   1.733,   0.481, 33,  0,   0.857,   0.244,   0.068,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:01:683, 2098878357604417,    0.436,    5.000,  800,   4.221,   3.327,   0.924,   0.793,   1.821,   0.506, 32,  0,   0.689,   0.321,   0.089,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:01:791, 2098878746857117,    0.544,    3.000,  800,   3.959,   3.755,   1.043,   0.560,   1.881,   0.523, 33,  0,   0.681,   0.394,   0.110,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:01:903, 2098879148174963,    0.656,    3.000, 3400,   5.396,   4.357,   1.210,   2.024,   2.107,   0.585, 33,  0,   0.694,   0.472,   0.131,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:02:010, 2098879533984386,    0.763,    3.000,  800,   4.237,   4.811,   1.336,   0.826,   2.196,   0.610, 32,  0,   0.671,   0.544,   0.151,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:02:121, 2098879931371709,    0.873,    5.000, 1900,   5.586,   5.427,   1.508,   2.143,   2.432,   0.676, 32,  0,   0.742,   0.626,   0.174,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:02:231, 2098880331636381,    0.985,    2.000,  800,   3.979,   5.870,   1.630,   0.581,   2.497,   0.694, 32,  0,   0.674,   0.701,   0.195,4095.875,4095.875,   0.000,   0.000,   0.000
15:07:02:340, 2098880722702686,    1.093,   20.000, 4200,  20.352,   8.081,   2.245,  16.858,   4.328,   1.202, 43,  0,   1.080,   0.818,   0.227,4095.875,4095.875,   0.000,   0.000,   0.000
