System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:06:42:043, 2098807651957417,    0.109,    3.000,  800,   8.305,   0.909,   0.252,   2.334,   0.255,   0.071, 32,  0,   0.709,   0.078,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:151, 2098808042436489,    0.218,    3.000,  800,   6.536,   1.618,   0.449,   0.549,   0.315,   0.087, 32,  0,   0.679,   0.151,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:263, 2098808443926021,    0.329,    2.000,  800,   6.432,   2.335,   0.649,   0.508,   0.371,   0.103, 32,  0,   0.669,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:371, 2098808832653209,    0.437,    2.000,  800,   6.456,   3.032,   0.842,   0.501,   0.426,   0.118, 31,  0,   0.671,   0.298,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:499, 2098809295492927,    0.566,   20.000, 4200,   7.768,   4.031,   1.120,   1.801,   0.657,   0.183, 39,  0,   0.700,   0.388,   0.108,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:591, 2098809626345828,    0.658,    1.000,  800,   7.608,   4.730,   1.314,   1.626,   0.807,   0.224, 31,  0,   0.681,   0.451,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:698, 2098810011567189,    0.765,    2.000,  800,   6.489,   5.424,   1.507,   0.534,   0.864,   0.240, 31,  0,   0.671,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:807, 2098810403633589,    0.874,    3.000,  800,   6.537,   6.136,   1.705,   0.571,   0.926,   0.257, 31,  0,   0.686,   0.597,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:42:916, 2098810796705009,    0.983,    2.000,  800,   6.491,   6.845,   1.901,   0.542,   0.985,   0.274, 32,  0,   0.671,   0.671,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
15:06:43:027, 2098811194738029,    1.094,   18.000, 4200,  19.170,   8.965,   2.490,  13.312,   2.457,   0.682, 47,  0,   0.959,   0.777,   0.216,4095.875,4095.875,   0.000,   0.000,   0.000
