System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:20:27:370, 2101778830033195,    0.105,    2.000,  800,  13.198,   1.391,   0.386,   2.077,   0.219,   0.061, 32,  0,   0.702,   0.074,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:27:498, 2101779290965055,    0.233,   19.000, 4200,  12.647,   3.010,   0.836,   1.687,   0.435,   0.121, 38,  0,   0.698,   0.163,   0.045,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:27:589, 2101779616928245,    0.324,    2.000, 3900,  14.074,   4.285,   1.190,   2.806,   0.689,   0.191, 32,  0,   0.691,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:27:701, 2101780018739941,    0.436,    1.000,  800,  11.972,   5.621,   1.561,   0.857,   0.785,   0.218, 31,  0,   0.674,   0.301,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:27:810, 2101780414766957,    0.546,    2.000,  800,  11.562,   6.893,   1.915,   0.495,   0.839,   0.233, 31,  0,   0.670,   0.375,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:27:916, 2101780796586237,    0.652,    2.000,  800,  11.564,   8.119,   2.255,   0.501,   0.892,   0.248, 31,  0,   0.672,   0.446,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:029, 2101781200011789,    0.764,    2.000,  800,  11.557,   9.414,   2.615,   0.497,   0.948,   0.263, 32,  0,   0.669,   0.521,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:138, 2101781593742245,    0.873,    2.000,  800,  11.542,  10.677,   2.966,   0.516,   1.004,   0.279, 31,  0,   0.668,   0.594,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:248, 2101781989321053,    0.983,    2.000,  800,  11.588,  11.950,   3.319,   0.505,   1.060,   0.294, 31,  0,   0.675,   0.668,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:358, 2101782385913581,    1.093,   15.000, 4200,  24.357,  14.633,   4.065,  13.369,   2.533,   0.704, 47,  0,   0.862,   0.763,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:463, 2101782763865934,    1.198,   18.000, 4200,  30.088,  17.792,   4.942,  19.066,   4.534,   1.260, 47,  0,   0.827,   0.850,   0.236,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:674, 2101783524036511,    1.409,   19.000, 4200,  29.963,  24.119,   6.700,  18.893,   8.524,   2.368, 47,  0,   0.870,   1.034,   0.287,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:758, 2101783825622305,    1.493,   20.000, 4200,  30.001,  26.632,   7.398,  18.697,  10.090,   2.803, 45,  0,   1.072,   1.124,   0.312,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:28:807, 2101784002647565,    1.542,   16.000, 4200,  29.433,  28.080,   7.800,  18.509,  11.000,   3.056, 50,  0,   0.897,   1.168,   0.324,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:042, 2101784848351505,    1.777,   21.000, 4200,  29.143,  34.926,   9.702,  17.991,  15.227,   4.230, 47,  0,   1.143,   1.436,   0.399,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:120, 2101785126851809,    1.855,   22.000, 4200,  30.394,  37.277,  10.355,  18.917,  16.690,   4.636, 36,  0,   1.409,   1.545,   0.429,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:229, 2101785522722065,    1.964,    1.000,  800,  12.461,  38.647,  10.735,   1.487,  16.854,   4.682, 33,  0,   0.674,   1.619,   0.450,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:341, 2101785925171409,    2.076,    2.000,  800,  11.606,  39.945,  11.096,   0.519,  16.911,   4.698, 32,  0,   0.675,   1.695,   0.471,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:450, 2101786318014273,    2.185,    2.000,  800,  11.575,  41.208,  11.447,   0.527,  16.969,   4.714, 32,  0,   0.675,   1.768,   0.491,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:557, 2101786702050925,    2.292,    4.000, 2500,  13.868,  42.687,  11.858,   2.759,  17.263,   4.795, 32,  0,   0.709,   1.844,   0.512,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:669, 2101787105166905,    2.404,    3.000, 3700,  12.459,  44.082,  12.245,   1.380,  17.418,   4.838, 33,  0,   0.728,   1.926,   0.535,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:779, 2101787500409889,    2.514,    1.000,  800,  11.868,  45.385,  12.607,   0.767,  17.502,   4.862, 32,  0,   0.672,   1.999,   0.555,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:885, 2101787883393339,    2.620,    2.000,  800,  11.532,  46.612,  12.948,   0.515,  17.557,   4.877, 31,  0,   0.668,   2.071,   0.575,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:29:996, 2101788283741433,    2.731,    2.000,  800,  11.583,  47.900,  13.306,   0.539,  17.617,   4.894, 32,  0,   0.673,   2.145,   0.596,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:30:107, 2101788681658849,    2.842,    3.000,  800,  11.643,  49.187,  13.663,   0.528,  17.675,   4.910, 32,  0,   0.676,   2.220,   0.617,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:30:123, 2101788742349195,    2.859,   34.000, 4200,  27.320,  49.648,  13.791,  16.444,  17.952,   4.987, 35,  0,   1.010,   2.237,   0.621,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.858821
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 49.647949
Cumulative Processor Energy_0 (mWh) = 13.791097
Average Processor Power_0 (Watt) = 17.366581

Cumulative IA Energy_0 (Joules) = 17.952332
Cumulative IA Energy_0 (mWh) = 4.986759
Average IA Power_0 (Watt) = 6.279627

Cumulative DRAM Energy_0 (Joules) = 2.237244
Cumulative DRAM Energy_0 (mWh) = 0.621457
Average DRAM Power_0 (Watt) = 0.782576
