System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:18:34:544, 2101372654749467,    0.113,    4.000, 2700,   8.217,   0.929,   0.258,   4.702,   0.531,   0.148, 33,  0,   0.734,   0.083,   0.023,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:34:654, 2101373049964405,    0.223,   13.000, 4200,   6.317,   1.622,   0.451,   2.923,   0.852,   0.237, 42,  0,   0.757,   0.166,   0.046,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:34:763, 2101373444865659,    0.332,    4.000, 1200,  10.311,   2.753,   0.765,   6.876,   1.607,   0.446, 33,  0,   0.820,   0.256,   0.071,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:34:871, 2101373832604815,    0.440,    4.000, 1300,   5.503,   3.346,   0.929,   2.089,   1.831,   0.509, 33,  0,   0.689,   0.330,   0.092,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:34:980, 2101374225973627,    0.549,    7.000,  800,   4.092,   3.793,   1.054,   0.696,   1.908,   0.530, 33,  0,   0.698,   0.406,   0.113,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:089, 2101374618891231,    0.659,    4.000,  800,   4.047,   4.235,   1.176,   0.612,   1.974,   0.548, 32,  0,   0.687,   0.481,   0.134,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:198, 2101375011776165,    0.768,    2.000,  800,   3.904,   4.661,   1.295,   0.507,   2.030,   0.564, 32,  0,   0.670,   0.555,   0.154,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:307, 2101375403308461,    0.876,    2.000,  800,   3.910,   5.086,   1.413,   0.534,   2.088,   0.580, 32,  0,   0.667,   0.627,   0.174,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:416, 2101375796954393,    0.986,    2.000,  800,   3.969,   5.520,   1.533,   0.546,   2.147,   0.597, 32,  0,   0.677,   0.701,   0.195,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:570, 2101376348199291,    1.139,   28.000, 4200,  19.317,   8.478,   2.355,  15.947,   4.589,   1.275, 48,  0,   0.865,   0.833,   0.232,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:637, 2101376588806795,    1.206,   20.000, 4200,  23.316,  10.036,   2.788,  19.736,   5.908,   1.641, 51,  0,   1.102,   0.907,   0.252,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:748, 2101376988357892,    1.317,   31.000, 4200,  27.290,  13.065,   3.629,  23.809,   8.551,   2.375, 41,  0,   1.049,   1.023,   0.284,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:855, 2101377373611921,    1.424,   21.000, 4200,  24.015,  15.635,   4.343,  20.559,  10.751,   2.986, 48,  0,   0.958,   1.126,   0.313,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:35:966, 2101377773382267,    1.535,   43.000, 4200,  25.401,  18.456,   5.127,  21.918,  13.185,   3.662, 45,  0,   1.045,   1.242,   0.345,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:074, 2101378162011139,    1.643,   46.000, 4100,  34.956,  22.229,   6.175,  31.489,  16.584,   4.607, 46,  0,   1.234,   1.375,   0.382,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:183, 2101378554656289,    1.752,   52.000, 4100,  40.355,  26.631,   7.397,  36.710,  20.588,   5.719, 44,  0,   1.635,   1.554,   0.432,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:295, 2101378957568803,    1.864,   24.000, 4200,  27.186,  29.673,   8.243,  23.673,  23.238,   6.455, 47,  0,   1.007,   1.666,   0.463,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:402, 2101379342688356,    1.971,   39.000, 4100,  36.594,  33.588,   9.330,  32.935,  26.761,   7.434, 44,  0,   1.784,   1.857,   0.516,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:615, 2101380109523793,    2.184,   22.000, 4200,  30.269,  40.036,  11.121,  26.788,  32.467,   9.019, 48,  0,   1.128,   2.097,   0.583,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:698, 2101380408078325,    2.267,   17.000, 4200,  22.228,  41.879,  11.633,  18.705,  34.018,   9.450, 43,  0,   1.086,   2.187,   0.608,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:771, 2101380671302929,    2.340,   20.000, 4200,  22.375,  43.515,  12.088,  18.983,  35.406,   9.835, 49,  0,   0.869,   2.251,   0.625,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:865, 2101381011823467,    2.434,   73.000, 4200,  29.299,  46.286,  12.857,  25.902,  37.856,  10.516, 47,  0,   1.342,   2.378,   0.661,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:36:949, 2101381312029709,    2.518,   19.000, 4200,  22.856,  48.192,  13.387,  19.158,  39.454,  10.959, 42,  0,   1.093,   2.469,   0.686,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:061, 2101381715058165,    2.630,   22.000, 4200,  23.272,  50.798,  14.110,  19.655,  41.654,  11.571, 44,  0,   1.477,   2.634,   0.732,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:172, 2101382114785421,    2.741,   19.000, 4200,  21.709,  53.208,  14.780,  18.158,  43.671,  12.131, 41,  0,   1.485,   2.799,   0.778,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:276, 2101382489187339,    2.845,   18.000, 4200,  21.760,  55.471,  15.409,  18.281,  45.572,  12.659, 51,  0,   1.281,   2.932,   0.815,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:386, 2101382885438787,    2.955,   37.000, 4100,  31.358,  58.923,  16.367,  27.749,  48.626,  13.507, 36,  0,   1.616,   3.110,   0.864,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:518, 2101383361915125,    3.087,   27.000, 2400,   5.588,  59.662,  16.573,   2.192,  48.916,  13.588, 34,  0,   0.719,   3.206,   0.890,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:607, 2101383681097625,    3.176,    3.000,  800,   4.960,  60.102,  16.695,   1.516,  49.051,  13.625, 34,  0,   0.688,   3.266,   0.907,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:715, 2101384069638942,    3.284,    3.000,  800,   3.956,  60.529,  16.814,   0.553,  49.110,  13.642, 33,  0,   0.674,   3.339,   0.928,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:823, 2101384459651021,    3.392,    4.000, 3400,   4.738,  61.042,  16.956,   1.346,  49.256,  13.682, 33,  0,   0.696,   3.415,   0.949,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:37:935, 2101384864319165,    3.505,    3.000,  800,   4.223,  61.517,  17.088,   0.798,  49.346,  13.707, 33,  0,   0.677,   3.491,   0.970,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:38:044, 2101385256244927,    3.613,    4.000,  800,   3.942,  61.946,  17.207,   0.570,  49.408,  13.724, 33,  0,   0.675,   3.564,   0.990,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:38:155, 2101385656788557,    3.725,    4.000,  800,   4.564,  62.454,  17.348,   1.133,  49.534,  13.759, 33,  0,   0.679,   3.640,   1.011,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:38:264, 2101386046758559,    3.833,    3.000,  800,   3.919,  62.879,  17.466,   0.528,  49.591,  13.775, 32,  0,   0.673,   3.713,   1.031,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:38:373, 2101386440526739,    3.942,    3.000,  800,   3.927,  63.308,  17.586,   0.538,  49.650,  13.792, 33,  0,   0.672,   3.786,   1.052,4095.875,4095.875,   0.000,   0.000,   0.000
15:18:38:409, 2101386568536657,    3.978,   18.000, 4100,  10.822,  63.693,  17.692,   7.522,  49.917,  13.866, 40,  0,   0.834,   3.816,   1.060,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.977943
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 63.692871
Cumulative Processor Energy_0 (mWh) = 17.692464
Average Processor Power_0 (Watt) = 16.011509

