System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:21:39:215, 2102037472893739,    0.103,    2.000,  800,   8.642,   0.894,   0.248,   2.533,   0.262,   0.073, 32,  0,   0.713,   0.074,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:39:326, 2102037872341043,    0.214,    2.000,  800,   6.524,   1.618,   0.449,   0.564,   0.325,   0.090, 32,  0,   0.674,   0.149,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:39:433, 2102038254409731,    0.321,    1.000,  800,   6.465,   2.304,   0.640,   0.514,   0.379,   0.105, 32,  0,   0.671,   0.220,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:39:543, 2102038651794087,    0.431,    5.000, 3100,   8.656,   3.259,   0.905,   2.725,   0.680,   0.189, 32,  0,   0.694,   0.296,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:39:652, 2102039045695591,    0.540,    2.000,  800,   6.770,   4.000,   1.111,   0.772,   0.764,   0.212, 32,  0,   0.676,   0.370,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:39:764, 2102039445131419,    0.651,    2.000,  800,   6.492,   4.721,   1.311,   0.536,   0.824,   0.229, 32,  0,   0.677,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:39:871, 2102039831439845,    0.759,    3.000,  800,   6.502,   5.418,   1.505,   0.559,   0.884,   0.246, 31,  0,   0.680,   0.518,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:39:980, 2102040223379695,    0.867,    2.000,  800,   6.540,   6.130,   1.703,   0.575,   0.947,   0.263, 32,  0,   0.676,   0.592,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:091, 2102040623764765,    0.979,    3.000,  800,   6.528,   6.856,   1.905,   0.583,   1.011,   0.281, 31,  0,   0.674,   0.667,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:203, 2102041026102323,    1.090,   16.000, 4200,  17.586,   8.822,   2.450,  11.617,   2.310,   0.642, 48,  0,   0.911,   0.769,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:311, 2102041414828469,    1.198,   17.000, 4200,  24.256,  11.441,   3.178,  18.255,   4.281,   1.189, 41,  0,   0.828,   0.858,   0.238,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:417, 2102041796329114,    1.304,   18.000, 4100,  24.463,  14.033,   3.898,  18.494,   6.241,   1.734, 47,  0,   0.750,   0.938,   0.260,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:570, 2102042349263725,    1.458,   25.000, 4200,  26.592,  18.118,   5.033,  20.702,   9.421,   2.617, 44,  0,   1.041,   1.097,   0.305,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:636, 2102042584969363,    1.523,   27.000, 4200,  24.078,  19.694,   5.471,  17.783,  10.585,   2.940, 45,  0,   1.224,   1.178,   0.327,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:745, 2102042977292013,    1.632,   23.000, 4200,  31.172,  23.091,   6.414,  24.885,  13.297,   3.694, 43,  0,   1.972,   1.393,   0.387,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:856, 2102043376922289,    1.743,   28.000, 4200,  30.060,  26.428,   7.341,  23.763,  15.935,   4.426, 46,  0,   2.139,   1.630,   0.453,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:40:965, 2102043770546253,    1.853,    4.000,  800,  16.102,  28.189,   7.830,  10.051,  17.034,   4.732, 34,  0,   1.051,   1.745,   0.485,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:075, 2102044167705797,    1.963,    2.000,  800,   6.600,  28.917,   8.032,   0.663,  17.107,   4.752, 33,  0,   0.672,   1.819,   0.505,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:186, 2102044568526383,    2.074,    3.000,  800,   6.614,  29.653,   8.237,   0.618,  17.176,   4.771, 33,  0,   0.679,   1.895,   0.526,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:295, 2102044958630838,    2.183,    4.000, 4100,   7.030,  30.415,   8.449,   1.148,  17.300,   4.806, 34,  0,   0.677,   1.968,   0.547,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:401, 2102045341021089,    2.289,    1.000,  800,  12.698,  31.764,   8.823,   1.780,  17.489,   4.858, 32,  0,   0.671,   2.039,   0.566,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:517, 2102045759352061,    2.405,   21.000, 2400,  12.084,  33.168,   9.213,   1.062,  17.613,   4.892, 32,  0,   0.700,   2.121,   0.589,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:619, 2102046127287039,    2.507,    1.000,  800,  12.308,  34.426,   9.563,   1.113,  17.726,   4.924, 32,  0,   0.682,   2.190,   0.608,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:730, 2102046525844639,    2.618,    2.000,  800,  11.577,  35.708,   9.919,   0.581,  17.791,   4.942, 32,  0,   0.669,   2.264,   0.629,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:841, 2102046926273439,    2.729,    3.000,  800,  11.716,  37.011,  10.281,   0.569,  17.854,   4.959, 32,  0,   0.690,   2.341,   0.650,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:41:928, 2102047240402247,    2.817,    7.000, 4100,  14.611,  38.286,  10.635,   3.645,  18.172,   5.048, 39,  0,   0.734,   2.405,   0.668,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.816647
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 38.285828
Cumulative Processor Energy_0 (mWh) = 10.634952
Average Processor Power_0 (Watt) = 13.592698

Cumulative IA Energy_0 (Joules) = 18.171997
Cumulative IA Energy_0 (mWh) = 5.047777
Average IA Power_0 (Watt) = 6.451642

Cumulative DRAM Energy_0 (Joules) = 2.405029
Cumulative DRAM Energy_0 (mWh) = 0.668064
Average DRAM Power_0 (Watt) = 0.853863
