System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:25:14:153, 2076891259699415,    0.109,    1.000,  800,  13.206,   1.445,   0.402,   2.101,   0.230,   0.064, 30,  0,   0.697,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:14:259, 2076891640670747,    0.215,    2.000,  800,  11.592,   2.672,   0.742,   0.506,   0.284,   0.079, 30,  0,   0.672,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:14:370, 2076892044230765,    0.327,    2.000,  800,  11.566,   3.969,   1.102,   0.506,   0.340,   0.095, 30,  0,   0.676,   0.223,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:14:499, 2076892508507615,    0.456,   20.000, 4200,  12.808,   5.621,   1.561,   1.831,   0.576,   0.160, 38,  0,   0.690,   0.312,   0.087,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:14:589, 2076892830032145,    0.546,    2.000, 3400,  13.482,   6.825,   1.896,   2.200,   0.773,   0.215, 31,  0,   0.709,   0.376,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:14:696, 2076893215592389,    0.653,    2.000,  800,  11.890,   8.098,   2.249,   0.826,   0.861,   0.239, 31,  0,   0.678,   0.448,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:14:806, 2076893611525971,    0.763,    2.000,  800,  12.164,   9.436,   2.621,   1.097,   0.982,   0.273, 30,  0,   0.678,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:14:916, 2076894008857089,    0.873,    3.000,  800,  11.656,  10.722,   2.978,   0.627,   1.051,   0.292, 30,  0,   0.672,   0.597,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:15:024, 2076894397378971,    0.981,    2.000,  800,  11.589,  11.973,   3.326,   0.511,   1.106,   0.307, 31,  0,   0.671,   0.669,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:15:133, 2076894789034909,    1.090,   24.000, 4200,  26.716,  14.879,   4.133,  15.597,   2.803,   0.779, 45,  0,   1.059,   0.785,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:15:245, 2076895191126573,    1.202,   28.000, 4200,  38.499,  19.180,   5.328,  27.316,   5.854,   1.626, 48,  0,   1.900,   0.997,   0.277,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:15:356, 2076895590746091,    1.313,   22.000, 4200,  29.481,  22.452,   6.237,  18.297,   7.885,   2.190, 47,  0,   1.245,   1.135,   0.315,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:15:463, 2076895975808795,    1.419,   28.000, 4200,  35.533,  26.253,   7.292,  24.220,  10.476,   2.910, 46,  0,   1.776,   1.325,   0.368,4095.875,4095.875,   0.000,   0.000,   0.000
