System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:25:50:996, 2077023896011157,    0.102,    3.000,  800,   5.891,   0.601,   0.167,   2.402,   0.245,   0.068, 32,  0,   0.712,   0.073,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:105, 2077024287896354,    0.211,    6.000,  800,   4.053,   1.042,   0.289,   0.643,   0.315,   0.087, 32,  0,   0.684,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:211, 2077024670103375,    0.317,   12.000, 4300,  12.369,   2.355,   0.654,   8.976,   1.268,   0.352, 37,  0,   0.816,   0.234,   0.065,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:321, 2077025063671517,    0.426,    2.000, 3100,   6.247,   3.038,   0.844,   2.806,   1.575,   0.437, 32,  0,   0.772,   0.318,   0.088,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:432, 2077025466467837,    0.538,   26.000, 4200,  16.623,   4.898,   1.361,  13.282,   3.061,   0.850, 39,  0,   0.961,   0.426,   0.118,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:540, 2077025852235108,    0.645,   32.000, 4100,  26.437,   7.731,   2.147,  23.121,   5.538,   1.538, 40,  0,   1.059,   0.539,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:651, 2077026253677219,    0.757,   22.000, 3200,  12.486,   9.123,   2.534,   8.785,   6.518,   1.811, 33,  0,   0.934,   0.643,   0.179,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:759, 2077026643281167,    0.865,   33.000, 4200,  26.883,  12.033,   3.342,  23.490,   9.060,   2.517, 39,  0,   1.108,   0.763,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:871, 2077027044070607,    0.976,    6.000, 1200,   9.951,  13.140,   3.650,   6.483,   9.782,   2.717, 33,  0,   0.736,   0.845,   0.235,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:51:979, 2077027432779671,    1.084,   25.000, 4200,  24.139,  15.747,   4.374,  20.798,  12.028,   3.341, 47,  0,   1.005,   0.954,   0.265,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:52:087, 2077027821606301,    1.192,   28.000, 4200,  27.917,  18.762,   5.212,  24.377,  14.660,   4.072, 42,  0,   1.268,   1.090,   0.303,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:52:198, 2077028221045811,    1.303,   17.000, 4200,  22.981,  21.312,   5.920,  19.520,  16.826,   4.674, 46,  0,   0.959,   1.197,   0.332,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:52:391, 2077028916085839,    1.496,   20.000, 4200,  22.724,  25.699,   7.139,  19.269,  20.547,   5.707, 47,  0,   1.020,   1.394,   0.387,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:52:486, 2077029257942545,    1.591,   20.000, 4200,  22.240,  27.811,   7.725,  18.771,  22.329,   6.203, 48,  0,   0.934,   1.482,   0.412,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:52:687, 2077029982407980,    1.793,   18.000, 4200,  24.476,  32.737,   9.093,  21.029,  26.561,   7.378, 43,  0,   1.243,   1.733,   0.481,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:52:866, 2077030627267857,    1.972,   34.000, 4200,  21.658,  36.616,  10.171,  17.981,  29.782,   8.273, 43,  0,   1.439,   1.990,   0.553,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:52:962, 2077030971889395,    2.067,   27.000, 4200,  26.133,  39.118,  10.866,  22.490,  31.935,   8.871, 35,  0,   1.765,   2.159,   0.600,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:073, 2077031374045459,    2.179,    4.000,  800,   5.436,  39.725,  11.035,   1.994,  32.157,   8.933, 33,  0,   0.687,   2.236,   0.621,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:181, 2077031763463017,    2.287,    5.000,  800,   4.636,  40.227,  11.174,   1.239,  32.291,   8.970, 33,  0,   0.682,   2.310,   0.642,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:289, 2077032151743083,    2.395,    3.000,  800,   3.975,  40.655,  11.293,   0.566,  32.353,   8.987, 32,  0,   0.673,   2.383,   0.662,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:402, 2077032559017383,    2.508,    4.000,  800,   4.072,  41.116,  11.421,   0.678,  32.429,   9.008, 32,  0,   0.673,   2.459,   0.683,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:510, 2077032945595387,    2.616,   15.000, 4200,   6.078,  41.769,  11.602,   2.644,  32.713,   9.087, 34,  0,   0.706,   2.534,   0.704,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:620, 2077033341010283,    2.726,    2.000,  800,   5.042,  42.323,  11.756,   1.670,  32.897,   9.138, 32,  0,   0.675,   2.609,   0.725,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:729, 2077033735378477,    2.835,    7.000,  800,   4.105,  42.772,  11.881,   0.688,  32.972,   9.159, 32,  0,   0.701,   2.685,   0.746,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:840, 2077034131969925,    2.945,    4.000, 4000,   5.038,  43.327,  12.035,   1.617,  33.150,   9.208, 32,  0,   0.746,   2.768,   0.769,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:947, 2077034518233901,    3.053,    1.000,  800,   4.479,  43.808,  12.169,   1.087,  33.267,   9.241, 32,  0,   0.672,   2.840,   0.789,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:53:969, 2077034602134954,    3.076,   27.000, 4200,  15.650,  44.173,  12.270,  12.327,  33.554,   9.321, 41,  0,   0.964,   2.862,   0.795,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.075879
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 44.172607
Cumulative Processor Energy_0 (mWh) = 12.270169
Average Processor Power_0 (Watt) = 14.360969

Cumulative IA Energy_0 (Joules) = 33.553955
Cumulative IA Energy_0 (mWh) = 9.320543
Average IA Power_0 (Watt) = 10.908736

Cumulative DRAM Energy_0 (Joules) = 2.862183
Cumulative DRAM Energy_0 (mWh) = 0.795051
Average DRAM Power_0 (Watt) = 0.930525
