System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:25:09:636, 2076874999156217,    0.099,    2.000,  800,   5.883,   0.583,   0.162,   2.320,   0.230,   0.064, 31,  0,   0.720,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:09:746, 2076875396868383,    0.210,    2.000,  800,   3.901,   1.014,   0.282,   0.515,   0.287,   0.080, 32,  0,   0.669,   0.145,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:09:857, 2076875793794331,    0.320,    2.000,  800,   3.905,   1.445,   0.401,   0.511,   0.343,   0.095, 31,  0,   0.669,   0.219,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:09:964, 2076876179707053,    0.427,    2.000,  800,   3.975,   1.871,   0.520,   0.541,   0.401,   0.111, 31,  0,   0.675,   0.291,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:075, 2076876581797969,    0.539,    2.000,  800,   3.916,   2.308,   0.641,   0.541,   0.462,   0.128, 31,  0,   0.667,   0.366,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:184, 2076876974388197,    0.648,    2.000,  800,   4.026,   2.747,   0.763,   0.626,   0.530,   0.147, 31,  0,   0.671,   0.439,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:292, 2076877362780102,    0.756,    2.000,  800,   3.962,   3.175,   0.882,   0.552,   0.590,   0.164, 31,  0,   0.672,   0.511,   0.142,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:400, 2076877750025719,    0.863,    1.000,  800,   3.945,   3.599,   1.000,   0.531,   0.647,   0.180, 31,  0,   0.676,   0.584,   0.162,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:510, 2076878147267801,    0.974,   10.000, 4200,   5.532,   4.210,   1.169,   2.164,   0.885,   0.246, 32,  0,   0.694,   0.661,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:620, 2076878543315832,    1.084,   22.000, 4100,  20.094,   6.420,   1.783,  16.919,   2.747,   0.763, 43,  0,   0.990,   0.770,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:730, 2076878938893609,    1.194,   18.000, 4200,  25.836,   9.259,   2.572,  20.420,   4.991,   1.386, 45,  0,   1.332,   0.916,   0.254,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:862, 2076879414275101,    1.326,   18.000, 4200,  23.309,  12.337,   3.427,  17.229,   7.266,   2.018, 41,  0,   1.414,   1.103,   0.306,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:10:950, 2076879731112557,    1.414,   31.000, 4200,  27.226,  14.733,   4.093,  21.159,   9.128,   2.536, 47,  0,   1.782,   1.260,   0.350,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:055, 2076880109500803,    1.519,    7.000, 1500,  14.175,  16.223,   4.506,   8.055,   9.974,   2.771, 32,  0,   0.818,   1.346,   0.374,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:166, 2076880506069293,    1.629,    6.000,  800,   6.803,  16.973,   4.715,   0.832,  10.066,   2.796, 32,  0,   0.756,   1.429,   0.397,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:278, 2076880909557789,    1.741,    2.000,  800,   6.465,  17.697,   4.916,   0.513,  10.124,   2.812, 31,  0,   0.671,   1.504,   0.418,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:384, 2076881292675237,    1.847,    2.000,  800,   6.501,  18.389,   5.108,   0.511,  10.178,   2.827, 31,  0,   0.677,   1.576,   0.438,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:498, 2076881702854793,    1.961,   19.000, 4300,   7.841,  19.282,   5.356,   1.913,  10.396,   2.888, 39,  0,   0.692,   1.655,   0.460,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:602, 2076882076984583,    2.065,    2.000,  800,   7.580,  20.070,   5.575,   1.581,  10.560,   2.933, 31,  0,   0.680,   1.726,   0.479,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:715, 2076882485125027,    2.179,    3.000,  800,   6.525,  20.810,   5.781,   0.589,  10.627,   2.952, 31,  0,   0.679,   1.803,   0.501,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:824, 2076882876429947,    2.287,    1.000,  800,   6.479,  21.514,   5.976,   0.506,  10.682,   2.967, 31,  0,   0.672,   1.876,   0.521,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:11:933, 2076883268577363,    2.396,    2.000, 1000,   7.060,  22.283,   6.190,   1.097,  10.802,   3.000, 31,  0,   0.678,   1.950,   0.542,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:12:006, 2076883531705347,    2.469,   10.000, 4100,  10.183,  23.027,   6.397,   4.306,  11.116,   3.088, 39,  0,   0.757,   2.005,   0.557,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.469291
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 23.027466
Cumulative Processor Energy_0 (mWh) = 6.396518
Average Processor Power_0 (Watt) = 9.325539

Cumulative IA Energy_0 (Joules) = 11.116272
Cumulative IA Energy_0 (mWh) = 3.087853
Average IA Power_0 (Watt) = 4.501808

Cumulative DRAM Energy_0 (Joules) = 2.004822
Cumulative DRAM Energy_0 (mWh) = 0.556895
Average DRAM Power_0 (Watt) = 0.811902
