System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:48:06:716, 2094792476781409,    0.101,    2.000,  800,  13.306,   1.341,   0.373,   2.135,   0.215,   0.060, 31,  0,   0.708,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:06:824, 2094792866170113,    0.209,    2.000,  800,  11.550,   2.591,   0.720,   0.503,   0.270,   0.075, 30,  0,   0.670,   0.144,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:06:934, 2094793262424189,    0.319,    2.000,  800,  11.567,   3.864,   1.073,   0.505,   0.325,   0.090, 31,  0,   0.670,   0.218,   0.060,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:044, 2094793658916451,    0.429,    2.000,  800,  11.552,   5.136,   1.427,   0.499,   0.380,   0.106, 30,  0,   0.671,   0.291,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:152, 2094794047884815,    0.537,    2.000,  800,  11.567,   6.386,   1.774,   0.502,   0.434,   0.121, 30,  0,   0.670,   0.364,   0.101,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:262, 2094794442943459,    0.647,    3.000,  800,  11.594,   7.658,   2.127,   0.506,   0.490,   0.136, 30,  0,   0.680,   0.438,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:370, 2094794829748577,    0.754,    2.000,  800,  11.528,   8.897,   2.471,   0.503,   0.544,   0.151, 30,  0,   0.668,   0.510,   0.142,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:499, 2094795295959495,    0.884,   19.000, 4300,  12.855,  10.562,   2.934,   1.785,   0.775,   0.215, 38,  0,   0.698,   0.601,   0.167,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:589, 2094795620610809,    0.974,    1.000,  800,  12.715,  11.708,   3.252,   1.616,   0.921,   0.256, 31,  0,   0.681,   0.662,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:703, 2094796030069029,    1.088,   15.000, 4200,  24.302,  14.472,   4.020,  13.206,   2.423,   0.673, 44,  0,   0.925,   0.767,   0.213,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:807, 2094796404436841,    1.192,   19.000, 4200,  30.053,  17.598,   4.888,  18.901,   4.388,   1.219, 45,  0,   1.203,   0.892,   0.248,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:07:917, 2094796800342520,    1.302,   20.000, 4200,  28.770,  20.762,   5.767,  17.555,   6.319,   1.755, 45,  0,   1.609,   1.069,   0.297,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:027, 2094797196216767,    1.412,   12.000, 3000,  23.439,  23.339,   6.483,  12.240,   7.665,   2.129, 32,  0,   1.149,   1.196,   0.332,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:136, 2094797589123189,    1.521,    2.000,  800,  11.775,  24.624,   6.840,   0.714,   7.743,   2.151, 31,  0,   0.679,   1.270,   0.353,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:246, 2094797983765759,    1.631,    3.000,  800,  11.557,  25.891,   7.192,   0.560,   7.804,   2.168, 32,  0,   0.676,   1.344,   0.373,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:357, 2094798383917009,    1.742,    2.000,  800,  11.653,  27.186,   7.552,   0.494,   7.859,   2.183, 31,  0,   0.677,   1.419,   0.394,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:463, 2094798766535375,    1.848,    2.000,  800,  11.546,  28.414,   7.893,   0.514,   7.914,   2.198, 31,  0,   0.668,   1.490,   0.414,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:574, 2094799163961041,    1.958,    6.000, 1600,  14.724,  30.039,   8.344,   3.680,   8.320,   2.311, 31,  0,   0.750,   1.573,   0.437,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:684, 2094799560568539,    2.069,    2.000,  800,  11.593,  31.316,   8.699,   0.543,   8.380,   2.328, 31,  0,   0.672,   1.647,   0.457,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:793, 2094799956005609,    2.178,    2.000,  800,  11.595,  32.590,   9.053,   0.510,   8.436,   2.343, 31,  0,   0.673,   1.721,   0.478,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:901, 2094800344524339,    2.286,    2.000,  800,  11.583,  33.840,   9.400,   0.504,   8.490,   2.358, 31,  0,   0.670,   1.793,   0.498,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:08:999, 2094800695526973,    2.384,    7.000, 4200,  14.288,  35.233,   9.787,   3.195,   8.802,   2.445, 37,  0,   0.735,   1.865,   0.518,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.383794
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 35.233032
Cumulative Processor Energy_0 (mWh) = 9.786953
Average Processor Power_0 (Watt) = 14.780234

Cumulative IA Energy_0 (Joules) = 8.801880
Cumulative IA Energy_0 (mWh) = 2.444967
Average IA Power_0 (Watt) = 3.692383

Cumulative DRAM Energy_0 (Joules) = 1.864746
Cumulative DRAM Energy_0 (mWh) = 0.517985
Average DRAM Power_0 (Watt) = 0.782260
