System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:46:23:872, 2094422240299011,    0.111,    4.000,  800,   7.735,   0.862,   0.240,   4.282,   0.477,   0.133, 32,  0,   0.742,   0.083,   0.023,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:23:980, 2094422627350964,    0.219,    3.000,  800,   3.964,   1.288,   0.358,   0.538,   0.535,   0.149, 32,  0,   0.680,   0.156,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:088, 2094423018354339,    0.328,    6.000,  800,   4.006,   1.724,   0.479,   0.627,   0.603,   0.168, 32,  0,   0.679,   0.230,   0.064,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:199, 2094423415423881,    0.438,    4.000,  800,   4.028,   2.168,   0.602,   0.598,   0.669,   0.186, 32,  0,   0.689,   0.306,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:310, 2094423814182421,    0.549,   32.000, 4200,  20.865,   4.479,   1.244,  17.623,   2.621,   0.728, 40,  0,   1.027,   0.419,   0.117,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:420, 2094424210194601,    0.659,   30.000, 4200,  26.994,   7.448,   2.069,  23.609,   5.218,   1.450, 40,  0,   1.084,   0.539,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:529, 2094424603098161,    0.768,    9.000, 3300,  11.173,   8.668,   2.408,   7.433,   6.030,   1.675, 33,  0,   0.834,   0.630,   0.175,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:636, 2094424989053337,    0.875,   25.000, 4100,  21.344,  10.956,   3.043,  17.951,   7.954,   2.209, 42,  0,   1.018,   0.739,   0.205,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:745, 2094425381717721,    0.984,   15.000,  800,  14.621,  12.551,   3.486,  11.154,   9.171,   2.547, 33,  0,   0.804,   0.827,   0.230,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:854, 2094425775370011,    1.093,   29.000, 4200,  25.387,  15.327,   4.258,  22.072,  11.584,   3.218, 45,  0,   1.144,   0.952,   0.264,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:24:967, 2094426182006697,    1.206,   35.000, 4200,  29.872,  18.701,   5.195,  26.250,  14.549,   4.041, 45,  0,   1.290,   1.097,   0.305,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:073, 2094426560073978,    1.311,   18.000, 4100,  22.709,  21.086,   5.857,  19.251,  16.571,   4.603, 51,  0,   0.939,   1.196,   0.332,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:185, 2094426963315731,    1.423,   17.000, 4100,  22.406,  23.596,   6.554,  18.953,  18.694,   5.193, 48,  0,   0.963,   1.304,   0.362,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:292, 2094427348571023,    1.530,   19.000, 4200,  22.651,  26.020,   7.228,  19.210,  20.750,   5.764, 47,  0,   1.019,   1.413,   0.392,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:405, 2094427755405415,    1.643,   23.000, 4200,  21.856,  28.490,   7.914,  18.401,  22.829,   6.341, 48,  0,   0.968,   1.522,   0.423,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:588, 2094428419117155,    1.828,   21.000, 4200,  25.319,  33.158,   9.210,  21.710,  26.832,   7.453, 45,  0,   1.295,   1.761,   0.489,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:640, 2094428604863073,    1.879,   18.000, 4200,  20.578,  34.220,   9.505,  17.269,  27.723,   7.701, 43,  0,   1.604,   1.844,   0.512,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:757, 2094429026269681,    1.996,   41.000, 4200,  21.933,  36.787,  10.219,  18.454,  29.883,   8.301, 41,  0,   1.365,   2.003,   0.557,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:841, 2094429325261323,    2.080,   32.000, 4200,  30.470,  39.318,  10.922,  26.554,  32.088,   8.913, 40,  0,   2.006,   2.170,   0.603,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:25:949, 2094429714329439,    2.188,    2.000,  800,   4.406,  39.794,  11.054,   0.993,  32.195,   8.943, 33,  0,   0.683,   2.244,   0.623,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:060, 2094430116796031,    2.299,    6.000, 3400,   6.129,  40.479,  11.244,   2.698,  32.497,   9.027, 34,  0,   0.759,   2.329,   0.647,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:168, 2094430506091689,    2.408,    2.000,  800,   4.298,  40.944,  11.373,   0.895,  32.594,   9.054, 32,  0,   0.671,   2.401,   0.667,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:279, 2094430903489433,    2.518,    3.000,  800,   4.008,  41.386,  11.496,   0.582,  32.658,   9.072, 32,  0,   0.679,   2.476,   0.688,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:385, 2094431285465245,    2.624,    4.000,  800,   4.045,  41.815,  11.615,   0.648,  32.727,   9.091, 32,  0,   0.671,   2.547,   0.708,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:499, 2094431696302905,    2.738,   23.000, 4200,   5.393,  42.431,  11.786,   2.045,  32.960,   9.156, 39,  0,   0.719,   2.629,   0.730,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:607, 2094432085231762,    2.846,    3.000,  800,   5.144,  42.987,  11.941,   1.680,  33.142,   9.206, 32,  0,   0.702,   2.705,   0.751,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:716, 2094432476422489,    2.955,    4.000,  800,   4.016,  43.423,  12.062,   0.599,  33.207,   9.224, 32,  0,   0.677,   2.779,   0.772,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:823, 2094432862654604,    3.062,    3.000,  800,   4.032,  43.856,  12.182,   0.637,  33.275,   9.243, 32,  0,   0.674,   2.851,   0.792,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:26:856, 2094432978844361,    3.094,   19.000, 4200,  12.044,  44.244,  12.290,   8.975,  33.565,   9.324, 40,  0,   0.855,   2.879,   0.800,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.094409
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 44.244263
Cumulative Processor Energy_0 (mWh) = 12.290073
Average Processor Power_0 (Watt) = 14.298132

Cumulative IA Energy_0 (Joules) = 33.564819
Cumulative IA Energy_0 (mWh) = 9.323561
Average IA Power_0 (Watt) = 10.846926

Cumulative DRAM Energy_0 (Joules) = 2.878662
Cumulative DRAM Energy_0 (mWh) = 0.799628
Average DRAM Power_0 (Watt) = 0.930279
