System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:48:25:338, 2094859518116495,    0.098,    2.000,  800,   5.741,   0.561,   0.156,   2.366,   0.231,   0.064, 31,  0,   0.695,   0.068,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:25:447, 2094859910555359,    0.207,    3.000,  800,   4.002,   0.997,   0.277,   0.601,   0.297,   0.082, 31,  0,   0.681,   0.142,   0.039,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:25:560, 2094860314083827,    0.319,    5.000, 2100,   6.073,   1.678,   0.466,   2.673,   0.596,   0.166, 31,  0,   0.699,   0.220,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:25:667, 2094860699913683,    0.426,    2.000,  800,   4.629,   2.174,   0.604,   1.195,   0.724,   0.201, 31,  0,   0.685,   0.294,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:25:776, 2094861092769561,    0.535,    2.000,  800,   3.965,   2.607,   0.724,   0.569,   0.787,   0.218, 31,  0,   0.671,   0.367,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:25:887, 2094861491863457,    0.646,    2.000,  800,   3.935,   3.043,   0.845,   0.527,   0.845,   0.235, 31,  0,   0.673,   0.442,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:25:996, 2094861884051183,    0.755,    2.000,  800,   4.353,   3.517,   0.977,   0.943,   0.948,   0.263, 31,  0,   0.691,   0.517,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:26:105, 2094862276897454,    0.864,    2.000,  800,   3.914,   3.944,   1.096,   0.517,   1.004,   0.279, 31,  0,   0.671,   0.590,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:26:213, 2094862667390357,    0.973,    2.000,  800,   3.933,   4.371,   1.214,   0.549,   1.064,   0.295, 31,  0,   0.670,   0.663,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:26:326, 2094863072937589,    1.085,   19.000, 4200,  20.054,   6.630,   1.842,  15.403,   2.799,   0.777, 46,  0,   0.948,   0.770,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
