System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:13:57:981, 2087417034045397,    0.099,    2.000,  800,  13.604,   1.344,   0.373,   2.444,   0.241,   0.067, 31,  0,   0.705,   0.070,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:089, 2087417423121779,    0.207,    2.000,  800,  11.766,   2.615,   0.726,   0.706,   0.318,   0.088, 31,  0,   0.671,   0.142,   0.039,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:202, 2087417828670107,    0.319,    2.000,  800,  11.685,   3.932,   1.092,   0.685,   0.395,   0.110, 32,  0,   0.669,   0.217,   0.060,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:307, 2087418209625021,    0.425,    3.000,  800,  11.850,   5.186,   1.440,   0.760,   0.475,   0.132, 32,  0,   0.678,   0.289,   0.080,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:418, 2087418606805177,    0.536,    2.000,  800,  11.744,   6.481,   1.800,   0.711,   0.554,   0.154, 31,  0,   0.671,   0.363,   0.101,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:528, 2087419004463465,    0.646,    7.000, 3400,  13.730,   7.998,   2.222,   2.616,   0.843,   0.234, 32,  0,   0.700,   0.441,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:637, 2087419396064269,    0.755,    2.000,  800,  12.093,   9.313,   2.587,   0.989,   0.950,   0.264, 31,  0,   0.673,   0.514,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:744, 2087419782864295,    0.862,    2.000,  800,  11.828,  10.584,   2.940,   0.811,   1.037,   0.288, 31,  0,   0.671,   0.586,   0.163,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:856, 2087420184782867,    0.974,    3.000,  800,  11.783,  11.900,   3.305,   0.677,   1.113,   0.309, 31,  0,   0.676,   0.661,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:58:966, 2087420580203171,    1.084,   15.000, 4200,  24.146,  14.552,   4.042,  13.015,   2.543,   0.706, 43,  0,   1.246,   0.798,   0.222,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:074, 2087420970223761,    1.192,   16.000, 4200,  29.491,  17.747,   4.930,  18.474,   4.544,   1.262, 40,  0,   1.371,   0.947,   0.263,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:187, 2087421375644699,    1.305,   16.000, 4200,  29.959,  21.121,   5.867,  18.672,   6.647,   1.846, 44,  0,   1.361,   1.100,   0.306,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:292, 2087421753788699,    1.410,   17.000, 4200,  30.079,  24.280,   6.745,  18.938,   8.636,   2.399, 38,  0,   1.365,   1.243,   0.345,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:403, 2087422153255039,    1.521,   17.000, 4200,  30.179,  27.629,   7.675,  19.047,  10.750,   2.986, 41,  0,   1.324,   1.390,   0.386,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:513, 2087422549290889,    1.631,   23.000, 4200,  30.885,  31.027,   8.619,  19.729,  12.920,   3.589, 45,  0,   1.349,   1.539,   0.427,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:621, 2087422938030932,    1.739,   17.000, 4100,  29.952,  34.261,   9.517,  18.841,  14.954,   4.154, 46,  0,   1.274,   1.676,   0.466,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:733, 2087423341250771,    1.851,   16.000, 4200,  30.034,  37.625,  10.451,  18.904,  17.072,   4.742, 47,  0,   1.208,   1.812,   0.503,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:840, 2087423726420047,    1.958,   16.000, 4200,  29.841,  40.818,  11.338,  18.730,  19.076,   5.299, 47,  0,   1.169,   1.937,   0.538,4095.875,4095.875,   0.000,   0.000,   0.000
14:13:59:947, 2087424111617791,    2.065,   16.000, 4200,  29.885,  44.015,  12.226,  18.790,  21.086,   5.857, 47,  0,   1.137,   2.058,   0.572,4095.875,4095.875,   0.000,   0.000,   0.000
