System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:09:12:213, 2086388270203001,    0.095,   11.000, 4200,   7.955,   0.757,   0.210,   4.514,   0.429,   0.119, 33,  0,   0.791,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:12:324, 2086388671305901,    0.207,    4.000,  800,   4.773,   1.288,   0.358,   1.371,   0.582,   0.162, 33,  0,   0.685,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:12:433, 2086389064312345,    0.316,   10.000,  800,   4.259,   1.753,   0.487,   0.868,   0.677,   0.188, 33,  0,   0.684,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:12:541, 2086389448878739,    0.423,    9.000, 3000,   7.752,   2.581,   0.717,   4.349,   1.141,   0.317, 33,  0,   0.736,   0.305,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:12:653, 2086389853377213,    0.535,   14.000,  800,   4.875,   3.129,   0.869,   1.435,   1.303,   0.362, 33,  0,   0.804,   0.395,   0.110,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:12:761, 2086390241947807,    0.643,   12.000,  800,   4.398,   3.604,   1.001,   0.991,   1.409,   0.392, 33,  0,   0.702,   0.471,   0.131,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:12:872, 2086390641973973,    0.754,    9.000, 3100,   4.712,   4.128,   1.147,   1.322,   1.556,   0.432, 33,  0,   0.724,   0.551,   0.153,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:12:983, 2086391041423789,    0.865,    6.000,  800,   4.391,   4.615,   1.282,   0.970,   1.664,   0.462, 33,  0,   0.691,   0.628,   0.174,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:13:091, 2086391429707667,    0.973,    2.000,  800,   4.121,   5.059,   1.405,   0.710,   1.741,   0.484, 32,  0,   0.676,   0.701,   0.195,4095.875,4095.875,   0.000,   0.000,   0.000
14:09:13:198, 2086391814328487,    1.080,   17.000, 4200,  17.446,   6.923,   1.923,  14.165,   3.254,   0.904, 48,  0,   0.945,   0.802,   0.223,4095.875,4095.875,   0.000,   0.000,   0.000
