System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:14:49:170, 2087601316387811,    0.114,    2.000,  800,   5.773,   0.660,   0.183,   2.321,   0.266,   0.074, 32,  0,   0.697,   0.080,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:49:278, 2087601704606362,    0.222,    3.000,  800,   4.146,   1.107,   0.308,   0.741,   0.345,   0.096, 32,  0,   0.674,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:49:385, 2087602089463829,    0.329,    2.000,  800,   4.436,   1.582,   0.439,   1.026,   0.455,   0.126, 32,  0,   0.677,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:49:500, 2087602503760311,    0.444,   18.000, 4300,   5.368,   2.199,   0.611,   2.032,   0.689,   0.191, 38,  0,   0.688,   0.304,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:49:606, 2087602884761851,    0.550,    2.000,  800,   4.949,   2.723,   0.756,   1.467,   0.844,   0.235, 32,  0,   0.685,   0.376,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:49:716, 2087603281212143,    0.660,    2.000,  800,   3.998,   3.163,   0.879,   0.600,   0.910,   0.253, 32,  0,   0.672,   0.450,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:49:823, 2087603664135981,    0.767,    4.000,  800,   5.701,   3.770,   1.047,   0.608,   0.975,   0.271, 32,  0,   0.671,   0.522,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:49:934, 2087604064995833,    0.878,    2.000,  800,   6.590,   4.504,   1.251,   0.595,   1.041,   0.289, 31,  0,   0.674,   0.597,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:50:043, 2087604456350631,    0.987,    2.000,  800,   6.490,   5.209,   1.447,   0.577,   1.104,   0.307, 32,  0,   0.665,   0.669,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:50:154, 2087604855134019,    1.097,   17.000, 4200,  21.646,   7.607,   2.113,  15.727,   2.846,   0.791, 49,  0,   1.103,   0.791,   0.220,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:50:263, 2087605247556039,    1.206,   16.000, 4200,  25.129,  10.346,   2.874,  19.135,   4.932,   1.370, 48,  0,   0.947,   0.895,   0.248,4095.875,4095.875,   0.000,   0.000,   0.000
14:14:50:373, 2087605643609019,    1.316,   16.000, 4200,  25.094,  13.107,   3.641,  19.129,   7.036,   1.955, 44,  0,   0.928,   0.997,   0.277,4095.875,4095.875,   0.000,   0.000,   0.000
