System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:56:19:792, 2096567548377314,    0.107,    2.000,  800,  13.374,   1.436,   0.399,   2.293,   0.246,   0.068, 31,  0,   0.700,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:19:901, 2096567941581479,    0.217,    5.000,  800,  11.663,   2.710,   0.753,   0.620,   0.314,   0.087, 32,  0,   0.688,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:012, 2096568341606297,    0.328,    3.000,  800,  11.722,   4.013,   1.115,   0.563,   0.377,   0.105, 31,  0,   0.683,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:121, 2096568735212403,    0.437,    2.000,  800,  11.551,   5.276,   1.465,   0.521,   0.434,   0.120, 31,  0,   0.669,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:229, 2096569123370781,    0.545,    2.000,  800,  11.611,   6.527,   1.813,   0.524,   0.490,   0.136, 31,  0,   0.671,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:338, 2096569515766195,    0.654,    2.000,  800,  11.595,   7.791,   2.164,   0.531,   0.548,   0.152, 31,  0,   0.671,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:449, 2096569915806517,    0.765,    2.000,  800,  11.566,   9.077,   2.521,   0.510,   0.604,   0.168, 30,  0,   0.670,   0.519,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:558, 2096570306266943,    0.873,    4.000, 1900,  13.835,  10.577,   2.938,   2.822,   0.911,   0.253, 31,  0,   0.694,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:670, 2096570710189801,    0.986,    6.000,  800,  11.826,  11.904,   3.307,   0.775,   0.997,   0.277, 31,  0,   0.694,   0.672,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:777, 2096571096624835,    1.093,   16.000, 4200,  25.744,  14.668,   4.074,  14.560,   2.560,   0.711, 44,  0,   1.110,   0.792,   0.220,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:887, 2096571492565339,    1.203,   16.000, 4200,  30.297,  18.000,   5.000,  19.225,   4.675,   1.299, 49,  0,   0.764,   0.876,   0.243,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:20:998, 2096571892171147,    1.314,   22.000, 4200,  33.359,  21.703,   6.029,  22.279,   7.148,   1.985, 50,  0,   0.858,   0.971,   0.270,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:106, 2096572280872517,    1.422,   17.000, 4200,  31.518,  25.106,   6.974,  20.420,   9.353,   2.598, 44,  0,   0.736,   1.050,   0.292,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:217, 2096572680564955,    1.533,   17.000, 4200,  31.361,  28.588,   7.941,  20.288,  11.605,   3.224, 45,  0,   0.735,   1.132,   0.314,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:324, 2096573065747991,    1.640,   16.000, 4200,  30.963,  31.901,   8.861,  19.895,  13.734,   3.815, 44,  0,   0.694,   1.206,   0.335,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:435, 2096573465260987,    1.751,   16.000, 4200,  31.163,  35.359,   9.822,  20.092,  15.964,   4.434, 48,  0,   0.698,   1.284,   0.357,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:544, 2096573857713625,    1.860,   20.000, 4200,  32.027,  38.850,  10.792,  20.962,  18.249,   5.069, 48,  0,   0.734,   1.364,   0.379,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:654, 2096574253766303,    1.970,   17.000, 4200,  31.169,  42.279,  11.744,  20.093,  20.459,   5.683, 42,  0,   0.731,   1.444,   0.401,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:762, 2096574642713271,    2.078,   31.000, 4200,  37.496,  46.331,  12.870,  26.393,  23.311,   6.475, 47,  0,   0.976,   1.550,   0.430,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:872, 2096575038836319,    2.188,   32.000, 4200,  37.498,  50.457,  14.016,  26.376,  26.213,   7.281, 39,  0,   1.161,   1.677,   0.466,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:21:979, 2096575423674112,    2.295,   19.000, 4100,  28.957,  53.552,  14.876,  17.796,  28.115,   7.810, 46,  0,   0.844,   1.768,   0.491,4095.875,4095.875,   0.000,   0.000,   0.000
14:56:22:091, 2096575825286190,    2.407,   36.000, 4100,  35.884,  57.555,  15.988,  25.109,  30.916,   8.588, 41,  0,   1.200,   1.902,   0.528,4095.875,4095.875,   0.000,   0.000,   0.000
