System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:54:40:136, 2096208789820015,    0.102,    3.000, 3100,   9.768,   0.995,   0.276,   6.250,   0.637,   0.177, 33,  0,   0.738,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:40:245, 2096209181753913,    0.211,    4.000,  800,   5.309,   1.573,   0.437,   1.889,   0.842,   0.234, 33,  0,   0.716,   0.153,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:40:356, 2096209582552539,    0.322,    5.000,  800,   4.941,   2.123,   0.590,   1.550,   1.015,   0.282, 33,  0,   0.695,   0.231,   0.064,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:40:464, 2096209967696465,    0.429,    7.000, 3700,   4.694,   2.625,   0.729,   1.293,   1.153,   0.320, 33,  0,   0.705,   0.306,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:40:574, 2096210366023189,    0.540,    4.000,  800,   6.415,   3.335,   0.926,   2.990,   1.484,   0.412, 32,  0,   0.710,   0.385,   0.107,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:40:685, 2096210766852095,    0.651,    8.000,  800,   4.342,   3.818,   1.061,   0.948,   1.590,   0.442, 32,  0,   0.702,   0.463,   0.129,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:40:792, 2096211150620071,    0.758,    6.000, 4200,   5.591,   4.414,   1.226,   2.203,   1.824,   0.507, 33,  0,   0.723,   0.540,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:40:904, 2096211553556936,    0.870,    2.000,  800,   4.605,   4.930,   1.369,   1.170,   1.955,   0.543, 32,  0,   0.678,   0.616,   0.171,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:012, 2096211939823821,    0.977,    7.000, 3700,   4.447,   5.407,   1.502,   1.056,   2.069,   0.575, 32,  0,   0.695,   0.690,   0.192,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:120, 2096212328915348,    1.085,   15.000, 4100,   7.914,   6.262,   1.740,   4.561,   2.562,   0.712, 41,  0,   0.920,   0.790,   0.219,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:229, 2096212721346425,    1.194,   19.000, 4100,  21.887,   8.648,   2.402,  18.403,   4.568,   1.269, 43,  0,   1.100,   0.910,   0.253,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:340, 2096213120878287,    1.305,   17.000, 4200,  21.379,  11.021,   3.061,  17.953,   6.560,   1.822, 42,  0,   0.850,   1.004,   0.279,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:451, 2096213520570497,    1.416,   17.000, 4200,  21.101,  13.364,   3.712,  17.674,   8.522,   2.367, 41,  0,   0.839,   1.097,   0.305,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:560, 2096213912990445,    1.525,   27.000, 4200,  25.411,  16.134,   4.482,  22.016,  10.922,   3.034, 46,  0,   0.967,   1.203,   0.334,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:670, 2096214308848041,    1.635,   21.000, 4100,  23.265,  18.692,   5.192,  19.749,  13.094,   3.637, 43,  0,   0.938,   1.306,   0.363,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:780, 2096214705026783,    1.745,   16.000, 4200,  21.172,  21.022,   5.839,  17.770,  15.049,   4.180, 45,  0,   0.866,   1.401,   0.389,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:41:887, 2096215090232273,    1.852,   17.000, 4200,  20.958,  23.264,   6.462,  17.515,  16.924,   4.701, 46,  0,   0.845,   1.491,   0.414,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:42:000, 2096215497023525,    1.965,   17.000, 4200,  21.209,  25.661,   7.128,  17.790,  18.934,   5.259, 41,  0,   0.862,   1.589,   0.441,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:42:106, 2096215878661111,    2.071,   27.000, 4200,  27.868,  28.615,   7.949,  24.421,  21.523,   5.978, 42,  0,   0.978,   1.692,   0.470,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:42:218, 2096216281856539,    2.183,   18.000, 4200,  22.205,  31.102,   8.640,  18.698,  23.617,   6.560, 51,  0,   1.282,   1.836,   0.510,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:42:328, 2096216677880847,    2.293,   17.000, 4200,  22.152,  33.539,   9.316,  18.704,  25.674,   7.132, 47,  0,   0.977,   1.943,   0.540,4095.875,4095.875,   0.000,   0.000,   0.000
