System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:55:45:607, 2096444483491945,    0.101,    2.000,  800,   8.608,   0.872,   0.242,   2.562,   0.260,   0.072, 31,  0,   0.699,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:45:714, 2096444868060771,    0.208,    2.000,  800,   6.582,   1.576,   0.438,   0.612,   0.325,   0.090, 31,  0,   0.675,   0.143,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:45:822, 2096445259976129,    0.317,    3.000,  800,   6.647,   2.299,   0.639,   0.685,   0.400,   0.111, 31,  0,   0.685,   0.217,   0.060,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:45:933, 2096445656026413,    0.427,    2.000, 1000,   7.065,   3.076,   0.855,   1.108,   0.522,   0.145, 31,  0,   0.680,   0.292,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:042, 2096446049225689,    0.536,    2.000,  800,   6.519,   3.788,   1.052,   0.572,   0.584,   0.162, 31,  0,   0.669,   0.365,   0.101,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:151, 2096446442142489,    0.645,    2.000,  800,   6.536,   4.502,   1.250,   0.525,   0.641,   0.178, 31,  0,   0.677,   0.439,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:260, 2096446835197547,    0.755,    2.000,  800,   6.474,   5.209,   1.447,   0.529,   0.699,   0.194, 30,  0,   0.668,   0.512,   0.142,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:372, 2096447237743369,    0.866,    3.000,  800,   6.533,   5.939,   1.650,   0.564,   0.762,   0.212, 31,  0,   0.677,   0.588,   0.163,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:499, 2096447695339925,    0.994,   18.000, 4200,   7.906,   6.944,   1.929,   1.971,   1.013,   0.281, 37,  0,   0.690,   0.676,   0.188,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:590, 2096448021209359,    1.084,   17.000, 4100,  23.782,   9.097,   2.527,  17.884,   2.631,   0.731, 46,  0,   1.191,   0.784,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:699, 2096448416607587,    1.194,   17.000, 4200,  23.924,  11.724,   3.257,  17.862,   4.593,   1.276, 50,  0,   1.185,   0.914,   0.254,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:808, 2096448806567261,    1.302,    9.000, 3400,  16.463,  13.508,   3.752,  10.369,   5.716,   1.588, 33,  0,   1.150,   1.038,   0.288,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:46:919, 2096449205922839,    1.413,    8.000, 3000,  12.383,  14.881,   4.134,   6.358,   6.422,   1.784, 33,  0,   0.970,   1.146,   0.318,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:47:029, 2096449603451505,    1.524,   11.000, 4300,  14.207,  16.450,   4.569,   8.137,   7.320,   2.033, 33,  0,   1.085,   1.266,   0.352,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:47:140, 2096450004894265,    1.635,    2.000,  800,   7.034,  17.235,   4.787,   1.100,   7.443,   2.067, 32,  0,   0.678,   1.341,   0.373,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:47:246, 2096450383356443,    1.740,    3.000,  800,   7.494,  18.022,   5.006,   1.544,   7.605,   2.113, 32,  0,   0.701,   1.415,   0.393,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:47:355, 2096450778857839,    1.850,    2.000,  800,   6.633,  18.751,   5.209,   0.671,   7.679,   2.133, 31,  0,   0.677,   1.489,   0.414,4095.875,4095.875,   0.000,   0.000,   0.000
14:55:47:463, 2096451165764108,    1.958,    3.000, 4100,   6.648,  19.466,   5.407,   0.664,   7.750,   2.153, 31,  0,   0.680,   1.562,   0.434,4095.875,4095.875,   0.000,   0.000,   0.000
