System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:13:32:231, 2100284327855225,    0.098,    2.000,  800,  13.928,   1.371,   0.381,   2.614,   0.257,   0.071, 31,  0,   0.715,   0.070,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:32:340, 2100284720808660,    0.208,    2.000,  800,  12.259,   2.709,   0.753,   1.212,   0.390,   0.108, 31,  0,   0.677,   0.144,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:32:448, 2100285110370439,    0.316,    3.000,  800,  11.861,   3.993,   1.109,   0.819,   0.478,   0.133, 31,  0,   0.673,   0.217,   0.060,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:32:560, 2100285512346501,    0.427,    4.000, 1200,  14.522,   5.614,   1.560,   3.418,   0.860,   0.239, 32,  0,   0.725,   0.298,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:32:670, 2100285909109607,    0.538,    2.000,  800,  11.882,   6.924,   1.923,   0.835,   0.952,   0.264, 31,  0,   0.671,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:32:777, 2100286293617077,    0.645,    2.000,  800,  11.851,   8.190,   2.275,   0.769,   1.034,   0.287, 31,  0,   0.675,   0.444,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:32:889, 2100286698032463,    0.757,    2.000,  800,  11.718,   9.506,   2.641,   0.685,   1.111,   0.309, 31,  0,   0.671,   0.519,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:32:998, 2100287091562607,    0.866,    2.000,  800,  11.884,  10.805,   3.001,   0.739,   1.192,   0.331, 31,  0,   0.677,   0.593,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:33:107, 2100287481989129,    0.975,    2.000,  800,  11.707,  12.075,   3.354,   0.698,   1.268,   0.352, 31,  0,   0.673,   0.666,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:33:217, 2100287876511389,    1.084,   14.000, 4200,  23.792,  14.682,   4.078,  12.652,   2.654,   0.737, 45,  0,   0.911,   0.766,   0.213,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:33:326, 2100288269037983,    1.193,   16.000, 4200,  29.136,  17.859,   4.961,  18.070,   4.624,   1.285, 47,  0,   0.786,   0.852,   0.237,4095.875,4095.875,   0.000,   0.000,   0.000
