System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:13:21:542, 2100245846939371,    0.095,    6.000, 3000,  10.094,   0.962,   0.267,   6.442,   0.614,   0.170, 32,  0,   0.807,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:21:654, 2100246251186777,    0.208,    4.000, 2500,   5.229,   1.549,   0.430,   1.840,   0.820,   0.228, 32,  0,   0.706,   0.156,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:21:764, 2100246649533587,    0.318,    7.000,  800,   4.892,   2.090,   0.581,   1.466,   0.983,   0.273, 33,  0,   0.709,   0.235,   0.065,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:21:870, 2100247028574595,    0.424,    4.000,  800,   4.037,   2.515,   0.699,   0.642,   1.050,   0.292, 32,  0,   0.684,   0.307,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:21:983, 2100247436230847,    0.537,    7.000,  800,   4.087,   2.978,   0.827,   0.692,   1.129,   0.313, 32,  0,   0.692,   0.385,   0.107,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:22:092, 2100247827552803,    0.645,    3.000, 1600,   5.327,   3.557,   0.988,   1.916,   1.337,   0.371, 32,  0,   0.689,   0.460,   0.128,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:22:199, 2100248213672427,    0.753,    5.000,  900,   5.673,   4.166,   1.157,   2.275,   1.581,   0.439, 32,  0,   0.719,   0.537,   0.149,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:22:309, 2100248609365175,    0.863,    9.000,  800,   4.269,   4.635,   1.287,   0.860,   1.675,   0.465, 32,  0,   0.712,   0.615,   0.171,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:22:419, 2100249005630517,    0.973,    3.000, 2800,   5.429,   5.232,   1.453,   2.026,   1.898,   0.527, 32,  0,   0.694,   0.692,   0.192,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:22:529, 2100249401927927,    1.083,   23.000, 4200,  11.834,   6.535,   1.815,   8.526,   2.837,   0.788, 49,  0,   0.840,   0.784,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
15:13:22:635, 2100249783542361,    1.189,   26.000, 4200,  26.408,   9.334,   2.593,  22.989,   5.274,   1.465, 42,  0,   1.091,   0.900,   0.250,4095.875,4095.875,   0.000,   0.000,   0.000
