System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:09:23:685, 2099389564998833,    0.111,    2.000,  800,   8.653,   0.959,   0.266,   2.622,   0.291,   0.081, 32,  0,   0.709,   0.079,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:23:795, 2099389960034703,    0.221,    3.000, 1600,   7.063,   1.734,   0.482,   1.157,   0.418,   0.116, 32,  0,   0.683,   0.154,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:23:904, 2099390352959657,    0.330,    2.000,  800,   6.789,   2.475,   0.688,   0.774,   0.502,   0.139, 32,  0,   0.676,   0.227,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:013, 2099390742665293,    0.438,    4.000, 4200,   7.856,   3.326,   0.924,   1.953,   0.714,   0.198, 35,  0,   0.693,   0.302,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:120, 2099391131640383,    0.546,    1.000,  800,   7.294,   4.114,   1.143,   1.299,   0.854,   0.237, 32,  0,   0.686,   0.377,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:230, 2099391523964793,    0.655,    8.000, 2200,   9.457,   5.145,   1.429,   3.495,   1.235,   0.343, 32,  0,   0.773,   0.461,   0.128,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:343, 2099391932493681,    0.768,    2.000,  800,   8.243,   6.080,   1.689,   2.299,   1.496,   0.415, 32,  0,   0.685,   0.538,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:448, 2099392310565171,    0.874,    2.000,  800,   6.704,   6.784,   1.884,   0.743,   1.574,   0.437, 31,  0,   0.671,   0.609,   0.169,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:560, 2099392713843511,    0.986,    5.000, 2400,   8.908,   7.782,   2.162,   2.947,   1.904,   0.529, 32,  0,   0.728,   0.691,   0.192,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:668, 2099393102358713,    1.093,   20.000, 4200,  23.877,  10.359,   2.877,  17.962,   3.842,   1.067, 42,  0,   1.094,   0.809,   0.225,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:778, 2099393498298963,    1.203,   23.000, 4200,  27.008,  13.329,   3.703,  20.979,   6.150,   1.708, 48,  0,   1.048,   0.924,   0.257,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:885, 2099393883530369,    1.310,   18.000, 4200,  24.747,  15.977,   4.438,  18.776,   8.159,   2.266, 50,  0,   0.788,   1.008,   0.280,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:24:999, 2099394293956989,    1.424,   17.000, 4200,  23.944,  18.707,   5.196,  17.942,  10.204,   2.835, 46,  0,   1.025,   1.125,   0.313,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:25:104, 2099394672366591,    1.530,   15.000, 4200,  22.722,  21.095,   5.860,  14.782,  11.758,   3.266, 34,  0,   1.277,   1.259,   0.350,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:25:215, 2099395072265729,    1.641,    5.000, 1200,  12.566,  22.491,   6.248,   1.376,  11.911,   3.309, 33,  0,   0.738,   1.341,   0.373,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:25:323, 2099395461436623,    1.749,    8.000, 4200,  15.065,  24.120,   6.700,   3.949,  12.338,   3.427, 44,  0,   0.943,   1.443,   0.401,4095.875,4095.875,   0.000,   0.000,   0.000
15:09:25:434, 2099395861501431,    1.860,    3.000,  800,  14.888,  25.774,   7.160,   3.829,  12.763,   3.545, 32,  0,   0.721,   1.523,   0.423,4095.875,4095.875,   0.000,   0.000,   0.000
