System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:17:48:042, 2075285262933373,    0.109,    3.000, 3400,  13.890,   1.512,   0.420,   2.690,   0.293,   0.081, 31,  0,   0.718,   0.078,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:149, 2075285649696261,    0.216,    2.000,  800,  11.910,   2.792,   0.776,   0.775,   0.376,   0.105, 31,  0,   0.675,   0.151,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:259, 2075286045271291,    0.326,    2.000,  800,  11.841,   4.093,   1.137,   0.755,   0.459,   0.128, 30,  0,   0.689,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:369, 2075286438846215,    0.436,    2.000,  800,  11.539,   5.355,   1.487,   0.514,   0.515,   0.143, 30,  0,   0.668,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:495, 2075286895668761,    0.562,   19.000, 4300,  12.727,   6.970,   1.936,   1.677,   0.728,   0.202, 39,  0,   0.689,   0.387,   0.107,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:587, 2075287226751665,    0.654,    1.000,  800,  12.682,   8.136,   2.260,   1.572,   0.873,   0.242, 30,  0,   0.682,   0.450,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:697, 2075287622414011,    0.764,    6.000, 4200,  12.771,   9.540,   2.650,   1.704,   1.060,   0.294, 40,  0,   0.747,   0.532,   0.148,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:805, 2075288011455509,    0.872,    3.000,  800,  13.431,  10.991,   3.053,   2.344,   1.313,   0.365, 31,  0,   0.724,   0.610,   0.169,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:48:914, 2075288402984739,    0.981,    2.000,  800,  11.536,  12.246,   3.402,   0.554,   1.374,   0.382, 30,  0,   0.669,   0.683,   0.190,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:49:024, 2075288797152925,    1.091,   19.000, 4200,  18.400,  14.260,   3.961,   7.313,   2.174,   0.604, 41,  0,   1.054,   0.798,   0.222,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:49:136, 2075289200191055,    1.203,   16.000, 4200,  30.837,  17.713,   4.920,  19.743,   4.385,   1.218, 47,  0,   0.732,   0.880,   0.244,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:49:246, 2075289596058961,    1.313,   16.000, 4200,  31.279,  21.152,   5.876,  20.188,   6.605,   1.835, 50,  0,   0.708,   0.958,   0.266,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:49:356, 2075289992091373,    1.423,   17.000, 4200,  31.551,  24.623,   6.840,  20.487,   8.858,   2.461, 48,  0,   0.737,   1.039,   0.289,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:49:465, 2075290384444261,    1.532,   16.000, 4200,  31.246,  28.029,   7.786,  20.173,  11.057,   3.071, 51,  0,   0.692,   1.114,   0.310,4095.875,4095.875,   0.000,   0.000,   0.000
13:17:49:575, 2075290780482113,    1.642,   18.000, 4200,  32.110,  31.561,   8.767,  21.030,  13.370,   3.714, 42,  0,   0.732,   1.195,   0.332,4095.875,4095.875,   0.000,   0.000,   0.000
