System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:16:42:117, 2075047934259175,    0.096,   12.000, 4000,   5.927,   0.567,   0.158,   2.464,   0.236,   0.065, 31,  0,   0.762,   0.073,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:230, 2075048340023815,    0.208,    7.000,  800,   4.570,   1.082,   0.301,   1.193,   0.370,   0.103, 32,  0,   0.686,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:337, 2075048728049993,    0.316,   11.000,  800,   4.255,   1.541,   0.428,   0.853,   0.462,   0.128, 32,  0,   0.694,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:447, 2075049121432679,    0.425,   15.000,  800,   4.378,   2.019,   0.561,   0.980,   0.569,   0.158, 32,  0,   0.699,   0.301,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:558, 2075049519298313,    0.536,    6.000, 2000,   6.613,   2.750,   0.764,   3.192,   0.922,   0.256, 32,  0,   0.731,   0.382,   0.106,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:665, 2075049905435093,    0.643,    3.000, 3000,   5.442,   3.334,   0.926,   2.038,   1.141,   0.317, 31,  0,   0.715,   0.459,   0.127,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:776, 2075050304097487,    0.754,    4.000, 4300,   4.376,   3.818,   1.061,   0.970,   1.248,   0.347, 31,  0,   0.692,   0.535,   0.149,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:883, 2075050690096697,    0.861,    3.000,  800,   5.311,   4.388,   1.219,   1.898,   1.451,   0.403, 32,  0,   0.693,   0.610,   0.169,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:42:996, 2075051097429939,    0.974,    8.000,  800,   4.100,   4.852,   1.348,   0.702,   1.531,   0.425, 31,  0,   0.695,   0.688,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:43:107, 2075051496535451,    1.085,   19.000, 4200,   9.010,   5.850,   1.625,   5.720,   2.165,   0.601, 43,  0,   0.943,   0.793,   0.220,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:43:213, 2075051878313055,    1.191,   19.000, 4200,  22.761,   8.264,   2.296,  19.244,   4.206,   1.168, 42,  0,   1.085,   0.908,   0.252,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:43:323, 2075052274240587,    1.301,   26.000, 4200,  27.189,  11.254,   3.126,  23.652,   6.807,   1.891, 45,  0,   1.265,   1.047,   0.291,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:43:430, 2075052659347371,    1.408,   17.000, 4100,  21.536,  13.558,   3.766,  18.033,   8.736,   2.427, 47,  0,   1.235,   1.179,   0.328,4095.875,4095.875,   0.000,   0.000,   0.000
