System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:19:08:227, 2075573928461633,    0.100,    3.000,  800,   5.759,   0.578,   0.160,   2.295,   0.230,   0.064, 31,  0,   0.705,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:08:338, 2075574329277289,    0.212,    2.000,  800,   3.908,   1.013,   0.281,   0.519,   0.288,   0.080, 32,  0,   0.669,   0.145,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:08:446, 2075574718764676,    0.320,    2.000,  800,   3.946,   1.440,   0.400,   0.519,   0.344,   0.096, 31,  0,   0.676,   0.218,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:08:558, 2075575121842231,    0.432,    6.000, 1900,   6.106,   2.123,   0.590,   2.657,   0.642,   0.178, 31,  0,   0.703,   0.297,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:08:664, 2075575503115539,    0.538,    2.000,  800,   6.523,   2.814,   0.782,   0.622,   0.707,   0.197, 32,  0,   0.667,   0.368,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:08:777, 2075575909525777,    0.651,    3.000,  800,   6.489,   3.547,   0.985,   0.529,   0.767,   0.213, 31,  0,   0.679,   0.444,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:08:886, 2075576298867687,    0.759,    2.000,  800,   6.527,   4.253,   1.181,   0.515,   0.823,   0.229, 31,  0,   0.678,   0.518,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:08:992, 2075576685050933,    0.866,    2.000,  800,   6.466,   4.946,   1.374,   0.529,   0.880,   0.244, 31,  0,   0.671,   0.590,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:09:103, 2075577082937633,    0.977,    2.000,  800,   6.492,   5.664,   1.573,   0.565,   0.942,   0.262, 31,  0,   0.667,   0.663,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:09:213, 2075577476617741,    1.086,   16.000, 4200,  19.227,   7.766,   2.157,  13.162,   2.381,   0.662, 49,  0,   1.221,   0.797,   0.221,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:09:324, 2075577876180929,    1.197,   17.000, 4200,  23.779,  10.405,   2.890,  17.695,   4.345,   1.207, 46,  0,   1.411,   0.953,   0.265,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:09:434, 2075578275098825,    1.308,   10.000,  800,  15.237,  12.094,   3.359,   9.228,   5.368,   1.491, 33,  0,   1.104,   1.076,   0.299,4095.875,4095.875,   0.000,   0.000,   0.000
13:19:09:542, 2075578661901063,    1.415,    8.000, 3000,   9.366,  13.100,   3.639,   3.364,   5.729,   1.591, 32,  0,   0.758,   1.157,   0.321,4095.875,4095.875,   0.000,   0.000,   0.000
