System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:36:46:434, 2092343462578948,    0.106,    2.000,  800,  13.461,   1.422,   0.395,   2.207,   0.233,   0.065, 31,  0,   0.707,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:46:542, 2092343850587851,    0.213,    5.000, 3100,  13.844,   2.914,   0.810,   2.767,   0.531,   0.148, 32,  0,   0.694,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:46:651, 2092344242738207,    0.322,    2.000,  800,  11.891,   4.210,   1.169,   0.800,   0.619,   0.172, 31,  0,   0.673,   0.223,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:46:761, 2092344639530959,    0.433,    2.000,  800,  11.567,   5.485,   1.524,   0.524,   0.676,   0.188, 32,  0,   0.669,   0.297,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:46:869, 2092345030358807,    0.541,    2.000,  800,  11.641,   6.748,   1.875,   0.532,   0.734,   0.204, 31,  0,   0.676,   0.370,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:46:979, 2092345425859461,    0.651,    7.000,  800,  14.359,   8.326,   2.313,   3.368,   1.104,   0.307, 31,  0,   0.777,   0.455,   0.126,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:091, 2092345826855543,    0.762,    3.000,  800,  12.466,   9.714,   2.698,   1.329,   1.252,   0.348, 31,  0,   0.701,   0.534,   0.148,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:201, 2092346224475527,    0.873,    2.000,  800,  11.552,  10.990,   3.053,   0.534,   1.311,   0.364, 30,  0,   0.671,   0.608,   0.169,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:307, 2092346606035071,    0.979,    2.000,  800,  11.888,  12.250,   3.403,   0.820,   1.398,   0.388, 31,  0,   0.677,   0.679,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:416, 2092346998372281,    1.088,   16.000, 4200,  25.040,  14.979,   4.161,  14.030,   2.927,   0.813, 46,  0,   0.994,   0.788,   0.219,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:528, 2092347401598719,    1.200,   21.000, 4200,  31.335,  18.489,   5.136,  20.215,   5.191,   1.442, 50,  0,   1.089,   0.910,   0.253,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:637, 2092347794023767,    1.309,   17.000, 4200,  30.396,  21.802,   6.056,  19.317,   7.297,   2.027, 48,  0,   0.906,   1.008,   0.280,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:748, 2092348193586909,    1.420,   16.000, 4200,  30.296,  25.165,   6.990,  19.215,   9.430,   2.619, 51,  0,   0.860,   1.104,   0.307,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:858, 2092348589572711,    1.530,   16.000, 4200,  30.111,  28.477,   7.910,  19.024,  11.522,   3.201, 50,  0,   0.832,   1.195,   0.332,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:47:967, 2092348981979853,    1.639,   16.000, 4200,  30.318,  31.782,   8.828,  19.253,  13.621,   3.784, 46,  0,   0.828,   1.286,   0.357,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:072, 2092349359975135,    1.744,   16.000, 4200,  30.172,  34.950,   9.708,  19.098,  15.626,   4.341, 45,  0,   0.816,   1.371,   0.381,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:185, 2092349766778661,    1.857,   16.000, 4200,  30.288,  38.372,  10.659,  19.203,  17.796,   4.943, 47,  0,   0.831,   1.465,   0.407,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:296, 2092350166412091,    1.968,   17.000, 4200,  30.487,  41.757,  11.599,  19.419,  19.952,   5.542, 45,  0,   0.796,   1.554,   0.432,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:402, 2092350547850615,    2.074,   17.000, 4200,  30.036,  44.939,  12.483,  18.928,  21.957,   6.099, 46,  0,   0.779,   1.636,   0.454,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:510, 2092350935256799,    2.181,   23.000, 4200,  31.560,  48.335,  13.426,  20.366,  24.149,   6.708, 50,  0,   0.834,   1.726,   0.479,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:621, 2092351334846623,    2.292,   16.000, 4200,  30.157,  51.683,  14.356,  19.096,  26.269,   7.297, 51,  0,   0.734,   1.807,   0.502,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:730, 2092351727262565,    2.401,   16.000, 4100,  30.076,  54.961,  15.267,  18.996,  28.339,   7.872, 46,  0,   0.715,   1.885,   0.524,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:841, 2092352126950283,    2.512,   16.000, 4200,  29.848,  58.275,  16.188,  18.777,  30.424,   8.451, 47,  0,   0.714,   1.964,   0.546,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:48:951, 2092352522963541,    2.622,   16.000, 4200,  29.646,  61.536,  17.093,  18.578,  32.468,   9.019, 47,  0,   0.723,   2.044,   0.568,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:49:060, 2092352915260507,    2.731,   17.000, 4200,  29.911,  64.796,  17.999,  18.843,  34.521,   9.589, 44,  0,   0.725,   2.123,   0.590,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:49:170, 2092353311234911,    2.841,   16.000, 4200,  29.751,  68.068,  18.908,  18.661,  36.574,  10.159, 49,  0,   0.709,   2.201,   0.611,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:49:276, 2092353693430685,    2.948,   16.000, 4200,  29.084,  71.156,  19.765,  18.049,  38.490,  10.692, 49,  0,   0.700,   2.275,   0.632,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:49:390, 2092354103365737,    3.061,   16.000, 4200,  28.992,  74.457,  20.683,  17.903,  40.528,  11.258, 45,  0,   0.713,   2.357,   0.655,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:49:495, 2092354481305611,    3.166,   29.000, 4200,  29.428,  77.547,  21.541,  18.327,  42.452,  11.792, 44,  0,   0.751,   2.435,   0.676,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:49:608, 2092354887991101,    3.279,   16.000, 4100,  27.966,  80.706,  22.418,  16.893,  44.361,  12.322, 44,  0,   0.713,   2.516,   0.699,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:49:713, 2092355266033389,    3.384,   16.000, 4200,  27.421,  83.585,  23.218,  16.346,  46.077,  12.799, 45,  0,   0.706,   2.590,   0.719,4095.875,4095.875,   0.000,   0.000,   0.000
