System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:36:36:713, 2092308467338167,    0.105,    5.000,  800,   6.939,   0.727,   0.202,   3.407,   0.357,   0.099, 33,  0,   0.732,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:36:823, 2092308861712367,    0.214,    8.000,  800,   4.179,   1.185,   0.329,   0.760,   0.440,   0.122, 32,  0,   0.690,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:36:933, 2092309259704535,    0.325,   12.000, 4200,   4.272,   1.657,   0.460,   0.931,   0.543,   0.151, 32,  0,   0.708,   0.231,   0.064,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:042, 2092309652739389,    0.434,    3.000, 3700,   5.402,   2.247,   0.624,   1.962,   0.758,   0.210, 32,  0,   0.705,   0.307,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:155, 2092310057717703,    0.547,    6.000,  800,   4.576,   2.762,   0.767,   1.153,   0.887,   0.246, 32,  0,   0.686,   0.385,   0.107,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:265, 2092310456377326,    0.657,   11.000,  800,   4.280,   3.236,   0.899,   0.864,   0.983,   0.273, 32,  0,   0.688,   0.461,   0.128,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:374, 2092310846811065,    0.766,   12.000,  800,   4.292,   3.701,   1.028,   0.909,   1.082,   0.300, 32,  0,   0.688,   0.535,   0.149,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:500, 2092311298592559,    0.891,   22.000, 4200,   5.600,   4.404,   1.223,   2.190,   1.356,   0.377, 39,  0,   0.713,   0.625,   0.174,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:588, 2092311617400381,    0.980,    9.000,  800,   4.699,   4.820,   1.339,   1.313,   1.473,   0.409, 32,  0,   0.693,   0.686,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:701, 2092312022549555,    1.092,   23.000, 4200,  11.012,   6.060,   1.683,   7.575,   2.325,   0.646, 46,  0,   0.947,   0.793,   0.220,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:811, 2092312418782223,    1.202,   18.000, 4200,  21.989,   8.480,   2.355,  18.517,   4.363,   1.212, 48,  0,   1.162,   0.921,   0.256,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:37:918, 2092312803735749,    1.309,   18.000, 4200,  22.879,  10.926,   3.035,  19.369,   6.434,   1.787, 43,  0,   1.147,   1.043,   0.290,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:38:027, 2092313196095941,    1.418,   26.000, 4200,  27.227,  13.894,   3.859,  23.702,   9.018,   2.505, 47,  0,   1.299,   1.185,   0.329,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:38:138, 2092313595761695,    1.529,   17.000, 4200,  22.311,  16.371,   4.547,  18.864,  11.112,   3.087, 42,  0,   1.007,   1.297,   0.360,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:38:247, 2092313988193868,    1.638,   18.000, 4200,  23.945,  18.981,   5.272,  20.484,  13.345,   3.707, 46,  0,   1.016,   1.407,   0.391,4095.875,4095.875,   0.000,   0.000,   0.000
14:36:38:354, 2092314374588933,    1.746,    7.000,  800,  10.999,  20.161,   5.600,   7.535,  14.154,   3.932, 34,  0,   1.003,   1.515,   0.421,4095.875,4095.875,   0.000,   0.000,   0.000
