System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:41:20:529, 2093330204600379,    0.106,   11.000, 3100,   6.612,   0.698,   0.194,   3.017,   0.319,   0.089, 32,  0,   0.729,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:20:639, 2093330601566463,    0.216,    2.000,  800,   4.173,   1.159,   0.322,   0.764,   0.403,   0.112, 32,  0,   0.672,   0.151,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:20:744, 2093330980161189,    0.321,    2.000,  800,   3.936,   1.573,   0.437,   0.538,   0.459,   0.128, 31,  0,   0.669,   0.221,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:20:856, 2093331380750564,    0.432,    2.000,  800,   3.983,   2.016,   0.560,   0.558,   0.522,   0.145, 31,  0,   0.674,   0.296,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:20:964, 2093331771866421,    0.541,    2.000,  800,   3.903,   2.440,   0.678,   0.526,   0.579,   0.161, 32,  0,   0.669,   0.369,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:21:073, 2093332161329760,    0.649,    2.000, 2500,   5.977,   3.086,   0.857,   1.459,   0.737,   0.205, 32,  0,   0.679,   0.443,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:21:183, 2093332558173681,    0.759,    3.000,  800,   6.592,   3.813,   1.059,   0.652,   0.808,   0.225, 31,  0,   0.675,   0.517,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:21:292, 2093332949572089,    0.868,    3.000,  800,   6.471,   4.517,   1.255,   0.561,   0.869,   0.242, 31,  0,   0.670,   0.590,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:21:401, 2093333342177165,    0.977,    3.000,  800,   6.560,   5.232,   1.453,   0.541,   0.928,   0.258, 31,  0,   0.683,   0.664,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
14:41:21:510, 2093333734680633,    1.086,   25.000, 4200,  19.423,   7.350,   2.042,  13.414,   2.391,   0.664, 42,  0,   1.038,   0.777,   0.216,4095.875,4095.875,   0.000,   0.000,   0.000
